State	Democrat	Republican	EC_Votes
AL	729547	1318255	9
AK	116454	163387	3
AZ	1161167	1252401	11
AR	380494	684872	6
CA	8753788	4483810	55
CO	1338870	1202484	9
CT	897572	673215	7
DE	235603	185127	3
DC	282830	12723	3
FL	4504975	4617886	29
GA	1877963	2089104	16
HI	266891	128847	4
ID	189765	409055	4
IL	3090729	2146015	20
IN	1033126	1557286	11
IA	653669	800983	6
KS	427005	671018	6
KY	628854	1202971	8
LA	780154	1178638	8
ME	715326	671154	4
MD	1677928	943169	10
MA	1995196	1090893	11
MI	2268839	2279543	16
MN	1367716	1322951	10
MS	485131	700714	6
MO	1071068	1594511	10
MT	177709	279240	3
NE	568940	991808	5
NV	539260	512058	6
NH	348526	345790	4
NJ	2148278	1601933	14
NM	385234	319667	5
NY	4556124	2819534	29
NC	2189316	2362631	15
ND	93758	216794	3
OH	2394164	2841005	18
OK	420375	949136	7
OR	1002106	782403	7
PA	2926441	2970733	20
RI	252525	180543	4
SC	855373	1155389	9
SD	117458	227721	3
TN	870695	1522925	11
TX	3877868	4685047	38
UT	310676	515231	6
VT	178573	95369	3
VA	1981473	1769443	13
WA	1742718	1221747	12
WV	188794	489371	5
WI	1382536	1405284	10
WY	55973	174419	3
