State	Democrat	Republican	EC_Votes
AL	795696	1255925	9
AK	122640	164676	3
AZ	1025232	1233654	11
AR	394409	647744	6
CA	7854285	4839958	55
CO	1323101	1185243	9
CT	905083	634892	7
DE	242584	165484	3
DC	267070	21381	3
FL	4237756	4163447	29
GA	1773827	2078688	16
HI	306658	121015	4
ID	212787	420911	4
IL	3019512	2135216	20
IN	1152887	1420543	11
IA	822544	730617	6
KS	440726	692634	6
KY	679370	1087190	8
LA	809141	1152262	8
ME	401306	292276	4
MD	1677844	971869	10
MA	1921290	1188314	11
MI	2564569	2115256	16
MN	1546167	1320225	10
MS	562949	710746	6
MO	1223796	1482440	10
MT	201839	267928	3
NE	302081	475064	5
NV	531373	463567	6
NH	369561	329918	4
NJ	2125101	1477568	14
NM	415335	335788	5
NY	4485741	2490431	29
NC	2178391	2270395	15
ND	124827	188163	3
OH	2827709	2661437	18
OK	443547	891325	7
OR	970488	754175	7
PA	2990274	2680434	20
RI	279677	157204	4
SC	865941	1071645	9
SD	145039	210610	3
TN	960709	1462330	11
TX	3308124	4569843	38
UT	251813	740600	6
VT	199239	92698	3
VA	1971820	1822522	13
WA	1755396	1290670	12
WV	238269	417655	5
WI	1620985	1407966	10
WY	69286	170962	3
